First,Last,Email,Password,State of IP,Date of Breach,Date of Most Recent Password Change
andrew,duke,andrew.duke1023@secmail.pro,vato19955,north dakota,1994-03,2012-09
louis,blake,louis.blake495@yahoo.com,busy56,north carolina,2002-02,1998-07
brandon,kramer,abbas-66-yildiz@icloud.com,tujker,georgia,2002-08,2007-09
jordan,shepard,jordan.shepard@unzz.edu,human,utah,1997-10,2002-01
bradley,castro,bradley.castro1286@lavabit.io,684739,oklahoma,2000-09,2013-01
albert,duffy,albert.duffy2171@icloud.com,1Grape,south carolina,2000-05,2013-09
robert,franklin,robert.franklin1573@icloud.com,1tickle1,california,2006-08,2016-01
amy,moon,amy.moon1175@hotmail.com,cat2304,montana,2008-04,2010-06
mark,velez,mark.velez@protonmail.ch,eldogg,indiana,2008-10,1996-11
doris,booth,divarino@gmail.com,myspace01,texas,2006-06,2000-09
christine,lowe,christine.lowe892@yahoo.com,043051,texas,1999-01,1991-04
charles,olsen,charles.olsen78@secmail.pro,11506,virginia,2014-01,2009-01
sarah,macdonald,sarah.macdonald431@hotmail.com,135793,maine,2010-07,2015-09
jeremy,hampton,jeremy.hampton@lavabit.io,21125150,louisiana,1993-03,1995-06
jacqueline,hahn,jacqueline.hahn2174@protonmail.ch,789456f,missouri,1991-06,2007-03
martha,washington,martha.washington1904@protonmail.ch,alena200,south carolina,1990-06,1994-09
albert,pena,shanewilliamson14@lavabit.io,shaman20061994,indiana,1997-07,1996-05
noah,gregory,noah.gregory276@icloud.com,jozef1,new hampshire,1998-08,2015-10
jacob,english,jacob.english@lavabit.io,pstar4,hawaii,1993-03,2017-04
tyler,lowe,tyler.lowe2097@yahoo.com,ghjgtkkth,iowa,1994-01,2016-06
jerry,clay,jerry.clay220@aol.com,8196,new jersey,1999-06,2009-06
amanda,pace,amanda.pace81@icloud.com,Jimbo1,north carolina,1998-06,1995-06
jacqueline,melendez,jacqueline.melendez1413@hotmail.com,01091983,kansas,1995-04,2017-09
mary,vazquez,mary.vazquez@lavabit.io,sports6,arizona,1997-01,1995-02
patrick,henson,patrick.henson400@icloud.com,makeshift,kentucky,2013-03,2017-10
eric,hawkins,eric.hawkins1067@hotmail.com,022300,alaska,2004-05,2010-07
paul,schneider,paul.schneider203@gmail.com,melissam,maryland,2010-05,1996-08
aaron,avila,aaron.avila1580@icloud.com,atnyno1,louisiana,2015-04,1993-10
jesse,meyer,jesse.meyer@secmail.pro,samalam,montana,2016-11,2004-09
jacqueline,enriquez,jacqueline.enriquez1996@icloud.com,dale66,colorado,2001-05,2017-07
amanda,macdonald,evanheldt@yahoo.com,1Hippie,,1999-08,1995-01
mark,grimes,mark.grimes1253@yahoo.com,polkovng,,1996-07,1994-02
jessica,larsen,jessica.larsen1031@lavabit.io,12568,new mexico,2008-11,2013-03
deborah,hogan,deborah.hogan@secmail.pro,croque,hawaii,2012-05,1993-10
douglas,brock,douglas.brock1060@yahoo.com,perdew,,1995-04,2014-03
brenda,ward,brenda.ward1876@unzz.edu,federated,south carolina,1996-06,1997-03
gloria,bradford,gloria.bradford475@yahoo.com,piskaches,washington,2017-07,1996-08
daniel,flores,ladypushi@unzz.edu,20081997,new jersey,2003-02,1995-06
thomas,krueger,thomas.krueger@gmail.com,soulreap,texas,1996-03,2000-01
barbara,maynard,barbara.maynard1683@aol.com,ufaehjdf,rhode island,1991-02,1996-07
thomas,strickland,thomas.strickland60@lavabit.io,27031986m,illinois,2006-06,2010-07
danielle,maynard,danielle.maynard481@icloud.com,86158246,connecticut,2007-01,1999-05
andrea,coffey,andrea.coffey1809@protonmail.ch,slocan,indiana,2004-04,2001-02
tyler,gaines,tyler.gaines@unzz.edu,bradley99,kentucky,2010-08,1997-11
douglas,brooks,rhodespeppicu72@unzz.edu,Jingle,texas,1990-08,2000-09
brian,le,brian.le486@secmail.pro,mekihiwu,kentucky,2013-07,1998-08
angela,barron,angela.barron1908@protonmail.ch,barberini,massachusetts,1995-08,2009-01
bruce,sandoval,bruce.sandoval1848@hotmail.com,zla9za9,iowa,2005-09,2011-07
sara,robinson,sara.robinson@lavabit.io,12819891,indiana,1990-02,2003-05
kenneth,house,kenneth.house747@hotmail.com,droman,kansas,2004-05,1995-01
harold,dunn,harold.dunn2187@gmail.com,rfpbv007,maine,1992-11,2004-03
natalie,phelps,luisganegron@lavabit.io,Valentin1995,ohio,1996-03,1992-02
donna,cain,donna.cain1255@secmail.pro,videogam,new york,1991-01,1994-06
andrea,arroyo,andrea.arroyo@aol.com,battleto,west virginia,2006-05,2006-08
joan,delacruz,joan.delacruz946@hotmail.com,reds20,maine,1994-08,2006-06
harold,carroll,harold.carroll584@secmail.pro,umalinga,wisconsin,2003-11,1992-03
louis,pennington,louis.pennington2017@gmail.com,19216802,wisconsin,2007-06,1999-03
julia,hodges,julia.hodges1271@protonmail.ch,scruffy6,maryland,1996-08,1998-04
frances,woodward,frances.woodward@lavabit.io,vibe,new york,1995-06,2012-08
george,nguyen,george.nguyen1411@secmail.pro,071093,texas,2017-06,2003-07
rachel,ayers,rachel.ayers127@lavabit.io,magandaako,oregon,1999-08,1997-09
steven,barr,steven.barr155@lavabit.io,triplash,minnesota,2012-07,2011-08
jessica,nielsen,jessica.nielsen965@lavabit.io,051087n,nebraska,1993-03,2004-02
marilyn,brandt,marilyn.brandt@gmail.com,chris35,north dakota,2015-08,2001-04
frances,mendoza,frances.mendoza1454@secmail.pro,662663,maryland,2013-10,1992-04
kenneth,mcguire,pomiat-stanislaw@secmail.pro,wandswor,missouri,2008-02,1998-01
emma,singh,emma.singh1073@aol.com,meshmesh,alaska,1990-05,2014-01
billy,sampson,billy.sampson1757@yahoo.com,121985,vermont,1990-05,1995-07
shirley,beltran,shirley.beltran@hotmail.com,arina2006,,1991-09,1995-06
jonathan,lucero,jonathan.lucero670@unzz.edu,leo1108,ohio,2011-09,2003-11
kimberly,sullivan,kimberly.sullivan1002@icloud.com,morella,alaska,2004-11,1995-05
andrea,avila,andrea.avila737@aol.com,ccm123,georgia,2015-10,2016-01
rachel,cherry,paulawarrior@unzz.edu,clutch,florida,2010-03,2002-01
benjamin,deleon,benjamin.deleon@secmail.pro,ghbdtn2010,north dakota,2010-08,2016-08
samuel,durham,samuel.durham797@unzz.edu,R3Vi3Wpass,hawaii,1996-11,1992-09
gary,hammond,gary.hammond697@secmail.pro,12vPB89EtCqqA,south carolina,2011-10,1994-01
jonathan,goodwin,jonathan.goodwin686@hotmail.com,pulamera,ohio,1998-04,2016-11
juan,frederick,juan.frederick1197@secmail.pro,n68610,illinois,1990-05,2012-11
andrew,ortiz,andrew.ortiz@gmail.com,primula1,iowa,2006-11,2010-05
joshua,khan,jalva20082008@lavabit.io,326903,pennsylvania,2017-02,1991-06
elizabeth,norton,elizabeth.norton1929@secmail.pro,shanno1,indiana,2013-07,2009-10
donald,vance,donald.vance1313@lavabit.io,meiling,california,2007-04,2014-02
joe,reeves,joe.reeves1848@protonmail.ch,relhzijdf,missouri,1998-11,2009-01
nicholas,valencia,nicholas.valencia@unzz.edu,drapoel,pennsylvania,2008-09,2012-03
nicole,branch,nicole.branch724@protonmail.ch,fudgee,wyoming,2003-04,1995-07
lori,jacobs,lori.jacobs1672@lavabit.io,2bhot,virginia,2015-11,1996-07
ralph,dawson,pesimist.98@gmail.com,murphie,arizona,2009-07,2003-02
rachel,gutierrez,rachel.gutierrez1528@icloud.com,guedes,oklahoma,1993-05,2010-09
kenneth,richard,kenneth.richard@hotmail.com,090848,tennessee,2015-10,2005-09
tyler,taylor,tyler.taylor1839@icloud.com,cadbur,new hampshire,2004-04,1997-07
emma,jacobs,emma.jacobs1882@aol.com,starsailor,virginia,1995-11,1995-10
samuel,huynh,samuel.huynh2135@lavabit.io,bone6,indiana,2005-09,2017-06
susan,juarez,susan.juarez2143@hotmail.com,deucee,washington,2014-02,2000-02
shirley,brewer,shirley.brewer@protonmail.ch,nolwenn,south dakota,1999-08,2004-11
rebecca,kim,rebecca.kim750@lavabit.io,kango,alaska,2015-05,2003-04
terry,parrish,terry.parrish1782@unzz.edu,hilfiger99,montana,1994-05,2014-08
evelyn,nixon,evelyn.nixon666@secmail.pro,OMER,north dakota,2014-10,2004-11
jack,zimmerman,jack.zimmerman62@icloud.com,harpua,north carolina,2013-02,1995-08
christina,good,christina.good@hotmail.com,730721,new mexico,2010-04,1994-03
judith,ortiz,judith.ortiz298@lavabit.io,Etg3yh5r,rhode island,1999-08,2017-04
roger,ramos,jadawilliams@icloud.com,Cabello,connecticut,2010-06,2003-01
lawrence,dyer,lawrence.dyer74@aol.com,opposite,colorado,2006-09,2016-11
patricia,chang,patricia.chang1620@unzz.edu,320900,kentucky,2000-10,2004-09
megan,dickson,megan.dickson@lavabit.io,paris585,pennsylvania,1997-04,2008-11
nancy,wall,nancy.wall2151@icloud.com,grunter,connecticut,2008-06,2003-04
nathan,mcdaniel,nathan.mcdaniel1678@gmail.com,pusssy,michigan,1997-02,1990-05
julie,hanson,julie.hanson181@gmail.com,mingus,washington,2012-04,1998-06
melissa,walters,william9@lavabit.io,ecoaster,north dakota,2001-09,2011-08
ryan,hansen,ryan.hansen@hotmail.com,barbossa,louisiana,1999-02,2017-04
sandra,dennis,sandra.dennis1504@hotmail.com,lbyecz,new york,1999-02,1999-09
justin,coleman,justin.coleman2024@gmail.com,curzons,tennessee,1994-09,2008-02
doris,mcgee,doris.mcgee1492@yahoo.com,snowtuyo,pennsylvania,2003-06,2017-04
roger,arellano,roger.arellano2181@secmail.pro,erwin1,massachusetts,2009-09,2008-07
benjamin,rojas,benjamin.rojas@aol.com,spit01,north carolina,2012-03,2013-08
larry,robinson,kaka_trok@hotmail.com,mersedes11,alaska,1995-02,2003-09
brittany,espinosa,brittany.espinosa648@gmail.com,supertrucker,arkansas,2015-06,2004-07
bruce,neal,bruce.neal2184@lavabit.io,08121967,montana,2015-04,1995-08
zachary,gonzales,zachary.gonzales2028@secmail.pro,hak4ro,mississippi,2006-04,2003-11
matthew,burnett,matthew.burnett@secmail.pro,marketolog,pennsylvania,1999-06,1995-09
terry,rodgers,terry.rodgers853@icloud.com,varrvarr,vermont,2004-11,2007-06
patrick,bridges,patrick.bridges2014@secmail.pro,musser,virginia,1997-06,2002-06
andrea,greer,brendon.leandrom@aol.com,820826,new jersey,1992-03,2008-08
douglas,hernandez,douglas.hernandez556@icloud.com,matthardy,new jersey,2001-08,2009-08
cynthia,conley,cynthia.conley@yahoo.com,catalin6,north dakota,2002-11,2000-10
johnny,reed,johnny.reed985@yahoo.com,secular,hawaii,2000-03,1993-09
julia,black,julia.black932@gmail.com,01071959,new hampshire,2001-06,2006-06
larry,weaver,larry.weaver1504@protonmail.ch,dima2006,illinois,2009-03,1990-03
sophia,moses,sophia.moses872@protonmail.ch,19940209,virginia,1995-10,2011-08
edward,benson,edward.benson@aol.com,rocketma,vermont,2011-03,2004-10
megan,melendez,megan.melendez1354@gmail.com,house67,oregon,2005-05,1997-11
jesse,allen,jesse.allen1790@lavabit.io,20129,delaware,1998-06,2012-04
shirley,friedman,shirley.friedman710@unzz.edu,basler,georgia,1990-03,2016-10
steven,sanford,steven.sanford2049@yahoo.com,mythefme,florida,2010-08,2016-10
vincent,mata,vincent.mata@gmail.com,344576,new mexico,2015-11,2017-04
sharon,hancock,sharon.hancock1779@protonmail.ch,PETE,minnesota,2003-07,1998-01
zachary,martinez,lynn4586@secmail.pro,2cvsex,illinois,2008-01,1994-11
louis,gates,louis.gates2027@aol.com,Spog83,vermont,2010-07,2014-01
arthur,carpenter,arthur.carpenter1167@hotmail.com,388057076,new jersey,2007-11,2010-02
raymond,wiley,raymond.wiley@lavabit.io,skippy99,utah,1999-07,1998-04
wayne,mclaughlin,wayne.mclaughlin1175@unzz.edu,1233214,indiana,2010-08,2003-02
victoria,love,victoria.love1628@lavabit.io,dawson12,michigan,2004-03,1993-06
denise,pugh,denise.pugh238@unzz.edu,251269,mississippi,2017-09,2007-08
william,pearson,GM_DANIEL_97@gmail.com,111800,alaska,2015-08,1992-01
amber,velazquez,amber.velazquez@lavabit.io,thepace,missouri,1991-08,2017-04
denise,douglas,denise.douglas1583@icloud.com,densa,utah,1998-09,2009-01
frances,hood,frances.hood1662@aol.com,Western1,arizona,2014-02,1998-10
jeffrey,rice,jeffrey.rice679@aol.com,David9,minnesota,2010-02,1996-07
henry,stewart,henry.stewart1500@gmail.com,11101961,nevada,2014-06,2012-08
kelly,blankenship,kelly.blankenship@gmail.com,180178m,california,2016-09,2008-04
ronald,peterson,levens_logan@secmail.pro,13491349,new york,2014-10,2006-10
grace,nielsen,grace.nielsen1301@gmail.com,modder,washington,1991-05,2007-11
katherine,benjamin,katherine.benjamin205@protonmail.ch,phaidon,alaska,2016-10,1997-09
sophia,cruz,sophia.cruz2160@protonmail.ch,variant,georgia,2003-06,2008-09
marie,esquivel,marie.esquivel@yahoo.com,forward13,alaska,2004-02,1998-03
rebecca,savage,rebecca.savage81@lavabit.io,angry1488,kentucky,1992-09,2012-09
stephanie,summers,stephanie.summers97@aol.com,wenu2872,massachusetts,2017-09,1996-09
keith,hail,jalva20082008@aol.com,scubaman,south carolina,2013-02,1993-07
carol,miranda,carol.miranda717@protonmail.ch,nursem,delaware,2011-07,1990-08
lisa,david,lisa.david@aol.com,kate0500717910,arizona,2016-09,2009-11
dylan,camacho,dylan.camacho2053@protonmail.ch,Nick,mississippi,2005-10,2009-07
dylan,kane,dylan.kane49@hotmail.com,031385,illinois,1994-11,2013-05
james,rubio,james.rubio1450@yahoo.com,nevergiveup,new mexico,2009-05,2008-05
ashley,austin,ashley.austin1589@unzz.edu,116mm,south dakota,2004-05,1992-08
cheryl,poole,cheryl.poole@icloud.com,danson,oklahoma,2008-01,2000-07
madison,monroe,madison.monroe2062@hotmail.com,excuse,oregon,2003-11,2016-05
jack,wheeler,jack.wheeler142@icloud.com,redrover,south carolina,2001-07,1998-11
marilyn,mcconnell,marilyn.mcconnell285@lavabit.io,zdcr6kgy,tennessee,1998-02,2012-10
brandon,solomon,brandon.solomon1144@secmail.pro,gj4tve,west virginia,2002-09,2010-10
natalie,cardenas,natalie.cardenas@unzz.edu,whipple,nevada,2005-05,2005-02
ruth,clark,ruth.clark1526@yahoo.com,iknowyou,south dakota,1993-01,2003-07
roy,bravo,autobrum12@icloud.com,i200000,mississippi,2017-03,2015-05
alexis,howell,alexis.howell548@secmail.pro,jagannath,nebraska,2001-11,1997-05
alexis,cervantes,alexis.cervantes844@icloud.com,oigres,wisconsin,2017-10,2016-01
ronald,horton,ronald.horton@gmail.com,11051977,minnesota,2001-07,2004-03
carl,jones,carl.jones2064@protonmail.ch,medor,montana,2015-01,2002-01
carolyn,dalton,carolyn.dalton1490@lavabit.io,24261653,nebraska,2007-04,1995-06
shirley,mccoy,shirley.mccoy207@aol.com,685101,new mexico,1996-02,1995-07
noah,jefferson,ajuda_alves@unzz.edu,jezzab,michigan,2004-09,2003-02
henry,suarez,henry.suarez@unzz.edu,LYNETTE,indiana,1999-08,2017-01
mark,schneider,mark.schneider419@unzz.edu,etan13,mississippi,2007-04,2011-08
nathan,frazier,nathan.frazier1133@protonmail.ch,tool19,alaska,1998-03,2001-04
julia,bruce,julia.bruce62@yahoo.com,Lisa116,ohio,1995-07,2003-05
lisa,patel,lisa.patel1895@hotmail.com,dmob01,idaho,2017-07,2003-11
pamela,swanson,pamela.swanson@lavabit.io,blackcat1,nevada,1995-01,2014-07
jose,rodriguez,myredpage@icloud.com,066099,kentucky,2005-03,2009-03
walter,farmer,walter.farmer1531@icloud.com,ampa,ohio,1990-05,2003-07
steven,rice,steven.rice1319@secmail.pro,mossmoss,maine,1997-04,2002-02
lori,mckenzie,lori.mckenzie2135@lavabit.io,remote2,california,2017-01,2005-10
jerry,villa,jerry.villa@secmail.pro,h78001,montana,2011-02,2005-11
megan,marin,megan.marin1729@protonmail.ch,26082005,oregon,1998-10,2004-05
willie,hoffman,willie.hoffman630@protonmail.ch,6439214,nebraska,2007-09,2009-06
tyler,blair,POLI120679@secmail.pro,zq2tuojs,florida,2004-09,1997-09
virginia,perry,virginia.perry1268@hotmail.com,90hFomyJa41iA,nebraska,2012-07,1995-01
edward,abbott,edward.abbott@hotmail.com,bruski,new mexico,1994-02,1996-03
carolyn,mccann,carolyn.mccann1827@gmail.com,dakota19,delaware,2010-03,2011-05
kelly,mayer,kelly.mayer256@icloud.com,trizzle,california,1997-03,2006-10
keith,perry,keith.perry854@unzz.edu,louise64,michigan,1995-04,1998-11
patrick,middleton,patrick.middleton444@protonmail.ch,pharah,massachusetts,2008-10,1998-07
michael,padilla,michael.padilla@hotmail.com,nibbler,new york,1998-03,1990-08
brian,beil,brian.beil885@hotmail.com,1Numark,florida,1993-07,2009-03
randy,lester,randy.lester573@aol.com,umterps,delaware,1994-02,1996-09
jennifer,nielsen,jennifer.nielsen1058@protonmail.ch,mode95ga,hawaii,2006-06,1996-05
catherine,welch,catherine.welch624@protonmail.ch,Cashman1,kansas,2017-05,2010-01
logan,johnson,logan.johnson@aol.com,89048866152yfcnz,kansas,1993-07,2000-08
christian,robles,christian.robles724@hotmail.com,gabby7,arizona,2010-07,2017-01
megan,shaw,aerap2002@aol.com,220640,,2010-08,1994-10
nicole,pineda,nicole.pineda1785@unzz.edu,pigmalion,new jersey,1990-05,2010-11
mark,wade,mark.wade781@icloud.com,d0268w,oregon,1994-11,2000-08
carl,berry,carl.berry@icloud.com,135nav,new jersey,2007-06,1993-06
joshua,esquivel,joshua.esquivel22@unzz.edu,inspeq,wyoming,2007-09,2008-11
patricia,hernandez,patricia.hernandez1395@gmail.com,aggies99,north carolina,2005-09,2015-04
harold,wiggins,harold.wiggins709@gmail.com,poolside,delaware,2016-09,1996-09
ronald,burnett,babyhon17@icloud.com,rg12345,idaho,2007-04,1994-06
denise,hodges,denise.hodges@unzz.edu,03121971,new york,2006-08,2017-06
anthony,beard,anthony.beard1838@lavabit.io,325724,wyoming,2009-11,2017-01
gregory,mercado,gregory.mercado262@protonmail.ch,33322333,nebraska,2012-09,1996-09
andrew,wilkinson,andrew.wilkinson911@secmail.pro,136149Ant,illinois,2017-05,2003-11
gerald,conway,gerald.conway1663@lavabit.io,1jzgte,louisiana,1992-02,2015-08
natalie,sanders,natalie.sanders@unzz.edu,rananalk,mississippi,1992-03,1993-09
anthony,shannon,nalle_!317@yahoo.com,bahjim00,kentucky,2008-02,2000-03
brittany,conner,brittany.conner264@icloud.com,video4me,hawaii,1992-01,2013-09
lori,wise,lori.wise216@unzz.edu,west11ham,indiana,2000-11,1991-07
betty,mccarthy,betty.mccarthy1668@unzz.edu,kurczak,mississippi,2007-06,2002-01
lauren,norman,lauren.norman@icloud.com,2071985,north carolina,2008-05,2015-05
michael,peralta,michael.peralta1471@secmail.pro,487sj32lk2,washington,2010-06,2015-07
andrew,swanson,andrew.swanson762@secmail.pro,zakkwyld,oregon,2009-01,2009-08
johnny,sanders,gionette_13@yahoo.com,134777,wisconsin,2014-09,1991-05
joyce,whitehead,joyce.whitehead75@protonmail.ch,tops,new york,2004-02,1993-04
sophia,spencer,sophia.spencer@hotmail.com,96616ag,montana,1999-02,2014-09
amber,burton,amber.burton166@gmail.com,oleg321,oregon,2011-11,2009-08
scott,haynes,scott.haynes969@unzz.edu,30041994,colorado,2005-10,2004-05
maria,adams,maria.adams941@unzz.edu,applesau,maine,2008-07,1993-05
karen,ellison,karen.ellison1669@unzz.edu,kony,michigan,1990-10,2014-11
matthew,neal,matthew.neal@protonmail.ch,animorphs,new mexico,2012-07,2010-05
nancy,hinton,nancy.hinton2070@protonmail.ch,gfhybirf,florida,1992-01,2017-01
dorothy,humphrey,dorothy.humphrey2183@unzz.edu,chernobelqq,nevada,1994-02,2000-01
amanda,garrett,amanda.garrett766@icloud.com,saprissa,tennessee,1990-04,2012-08
marilyn,donaldson,marilyn.donaldson2019@hotmail.com,da4ielf,alabama,2002-05,2014-08
roy,barron,roy.barron@lavabit.io,t3m4ik,arkansas,1999-05,1999-06
george,mcconnell,george.mcconnell1132@icloud.com,30OWqQ,north carolina,2005-02,2008-06
sarah,farley,wandah_w@icloud.com,easiest6,maine,2005-07,2008-07
lawrence,olsen,lawrence.olsen1905@secmail.pro,Corolla,georgia,1998-09,2014-07
alice,beltran,alice.beltran2003@protonmail.ch,trytry1,new hampshire,1997-10,2017-07
doris,hill,doris.hill@unzz.edu,ripper3,california,2015-02,1997-11
peter,foley,peter.foley1660@gmail.com,olle3,alaska,2013-03,1999-11
virginia,stevens,virginia.stevens1282@icloud.com,15-Mar,california,2002-08,2012-09
susan,dominguez,susan.dominguez581@gmail.com,cuarent,north carolina,1993-03,2001-01
roy,ruiz,keatonsmith@lavabit.io,25031997,idaho,2013-05,2010-05
christopher,lozano,christopher.lozano@protonmail.ch,101948,vermont,2015-02,1991-01
vincent,garrett,vincent.garrett1474@yahoo.com,prasanti,washington,2001-11,2005-06
kyle,mcintyre,kyle.mcintyre2153@aol.com,250691n,new mexico,2011-02,2009-05
thomas,kemp,thomas.kemp328@lavabit.io,The8865,nevada,2000-01,1993-03
carolyn,boyle,carolyn.boyle838@protonmail.ch,zcegth4edfr,kentucky,1991-05,1991-03
henry,vasquez,henry.vasquez@unzz.edu,newyear9,new mexico,1997-07,1993-10
michelle,romero,tilayshaschmidt@gmail.com,092769,,2012-06,2010-11
gerald,davenport,gerald.davenport875@aol.com,muldoon1,iowa,2002-02,1997-03
charles,logan,charles.logan298@unzz.edu,3ra1n1ac,georgia,2001-10,1997-09
gary,mccarty,gary.mccarty1099@yahoo.com,161956,wisconsin,2011-07,2012-04
dorothy,rivas,dorothy.rivas@hotmail.com,9anbi2,,2012-07,1998-02
carl,wood,carl.wood1037@secmail.pro,Edfs7,wyoming,2002-05,2016-09
ann,weber,ann.weber91@yahoo.com,niobe,missouri,1991-05,2015-11
louis,conway,ku_konty_sc@hotmail.com,mossmoss,new jersey,2006-02,1990-09
madison,beck,madison.beck2105@yahoo.com,harris77,nevada,1991-09,2005-05
vincent,lester,vincent.lester@secmail.pro,fjkdesf,missouri,1991-03,2017-04
nancy,sierra,nancy.sierra448@aol.com,celta,nebraska,2004-07,1995-11
susan,kramer,susan.kramer1086@unzz.edu,280467,nevada,1996-05,1990-06
jacqueline,monroe,jacqueline.monroe1084@icloud.com,mytt235,delaware,2010-09,1994-05
angela,bruce,angela.bruce1087@hotmail.com,pa4ded3d,idaho,2013-02,1996-06
